,¼±¼ö,G,Å¸¼®,Å¸¼ö,µæÁ¡,¾ÈÅ¸,2Å¸,3Å¸,È¨·±,·çÅ¸,Å¸Á¡,µµ·ç,µµ½Ç,º¼³Ý,»ç±¸,°í4,»ïÁø,º´»ì,ÈñÅ¸,Èñºñ,Å¸À²,Ãâ·ç,ÀåÅ¸,OPS,wOBA,wRC+,WAR+,WPA
1352,Á¤ÁøÈ£21ÇÑLF,50,167,145,9,33,9,0,0,42,15,4,1,15,1,1,22,5,4,2,.228,.301,.290,.590,.277,56.9,-0.46,-0.73
1353,À±¼®¹Î20S3B,34,76,73,4,14,2,0,3,25,12,0,0,2,0,0,12,3,0,1,.192,.211,.342,.553,.242,30.7,-0.46,-0.34
1354,¹ÚÁÖÈ«21Å°DH,22,56,47,4,5,2,0,0,7,3,1,1,9,0,0,21,1,0,0,.106,.250,.149,.399,.217,16.6,-0.47,-0.34
1355,¾È½ÂÇÑ19KC,36,47,44,4,6,1,0,0,7,5,0,0,1,1,0,13,1,1,0,.136,.174,.159,.333,.160,-18.6,-0.47,-0.87
1356,±èÃ¢Æò21SLF,27,25,22,5,1,0,0,0,1,1,1,1,1,0,0,6,0,2,0,.045,.087,.045,.132,.068,-82.5,-0.48,-0.22
1357,Á¤Çö20SSS,87,126,110,14,17,4,0,2,27,4,0,2,11,2,0,34,3,3,0,.155,.244,.245,.489,.230,24.3,-0.48,-0.60
1358,ÀÌ¿ì¼º18µÎNLF,71,199,177,24,40,9,0,4,61,24,1,2,16,4,0,57,6,1,1,.226,.303,.345,.648,.292,63.7,-0.48,-0.46
1359,¿ÀÁ¤È¯19K2B,30,29,28,8,4,0,0,0,4,1,0,2,0,0,0,12,1,1,0,.143,.143,.143,.286,.130,-39.7,-0.48,-0.74
1360,±è¹ÎÇÏ18ÇÑLF,59,108,97,13,21,4,0,3,34,17,5,5,5,3,0,30,6,2,1,.216,.274,.351,.624,.271,46.9,-0.49,-1.25
1361,¹Ú½Â¿í19SK1B,101,244,222,24,52,3,4,3,72,15,4,1,14,2,0,50,5,6,0,.234,.286,.324,.610,.279,63.5,-0.49,-1.93
1362,±èÅÂ¿Ï18³ØDH,29,74,66,5,13,2,0,1,18,5,0,0,5,2,1,25,4,0,1,.197,.270,.273,.543,.246,32.6,-0.50,-0.95
1363,³ªÁÖÈ¯19S2B,94,245,225,14,50,9,0,3,68,20,1,2,12,3,0,54,6,4,1,.222,.270,.302,.572,.265,53.0,-0.52,-1.91
1364,±èÅÂ±Õ20ÇÑ1B,66,249,215,14,47,11,0,2,64,29,0,0,29,2,3,41,8,1,2,.219,.315,.298,.612,.287,64.1,-0.53,-0.50
